"LEVEL1","LEVEL2","CD","LEVEL1_NM","LEVEL2_NM","NM","NM2","COMMENTS","DEL_YN","REG_DATE","REG_USER","MOD_DATE","MOD_USER"
SU,"06","0",지원,SMS유형,인터페이스에러SMS,인터페이스에러SMS,지원-SMS유형-인터페이스에러SMS,N,"20180528134825",iip,,
SU,"06","1",지원,SMS유형,리소스모니터,리소스모니터,지원-SMS유형-리소스모니터,N,"20180528134825",iip,,
SU,"06","2",지원,SMS유형,MI에이전트,MI에이전트,지원-SMS유형-MI에이전트,N,"20180528134825",iip,,
SU,"06","3",지원,SMS유형,MIRunner,MIRunner,지원-SMS유형-MIRunner,N,"20180528134825",iip,,
SU,"06","4",지원,SMS유형,프로세스 모니터,프로세스 모니터,지원-SMS유형-프로세스 모니터,N,"20180528134825",iip,,
SU,"06","5",지원,SMS유형,큐매니저 모니터,큐매니저 모니터,지원-SMS유형-큐매니저 모니터,N,"20180528134825",iip,,
SU,"06","6",지원,SMS유형,채널모니터,채널모니터,지원-SMS유형-채널모니터,N,"20180528134825",iip,,
SU,"06","7",지원,SMS유형,큐모니터,큐모니터,지원-SMS유형-큐모니터,N,"20180528134825",iip,,
SU,"06","8",지원,SMS유형,IIP에이전트,IIP에이전트,지원-SMS유형-IIP에이전트,N,"20180528134825",iip,,
SU,"06","9",지원,SMS유형,키타,키타,지원-SMS유형-키타,N,"20180528134825",iip,,
IM,"33","0",개발,Config파일비교결과,등록,등록,등록,N,"20180920152914",iip,"20180920152914",iip
IM,"33","1",개발,Config파일비교결과,동일,동일,동일,N,"20180920152914",iip,"20180920152914",iip
IM,"33","9",개발,Config파일비교결과,다름,다름,다름,N,"20180920152914",iip,"20180920152914",iip
IM,"04","9",개발,리소스,API,API,개발-리소스- C API,N,"2018092015324940",nh,"20180927135737530",nh
